"","pais","CountryCode","indicador","X2018","X1962"
"236","Turkmenistan","TKM","Renewable internal freshwater resources per capita (cubic meters)",240.1339144,NA
"237","Latin America & the Caribbean (IDA & IBRD countries)","TLA","Renewable internal freshwater resources per capita (cubic meters)",22125.41791,62350.86556
"238","Timor-Leste","TLS","Renewable internal freshwater resources per capita (cubic meters)",6478.834362,16711.5903
"239","Middle East & North Africa (IDA & IBRD countries)","TMN","Renewable internal freshwater resources per capita (cubic meters)",594.2501902,2187.14414
"240","Tonga","TON","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"241","South Asia (IDA & IBRD)","TSA","Renewable internal freshwater resources per capita (cubic meters)",1092.438214,3345.939029
"242","Sub-Saharan Africa (IDA & IBRD countries)","TSS","Renewable internal freshwater resources per capita (cubic meters)",3602.002462,18383.70809
"243","Trinidad and Tobago","TTO","Renewable internal freshwater resources per capita (cubic meters)",2762.905973,4366.434851
"244","Tunisia","TUN","Renewable internal freshwater resources per capita (cubic meters)",362.7260153,974.3403576
"245","Turkiye","TUR","Renewable internal freshwater resources per capita (cubic meters)",2756.858779,7872.969533
"246","Tuvalu","TUV","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"247","Tanzania","TZA","Renewable internal freshwater resources per capita (cubic meters)",1491.65091,7885.877089
"248","Uganda","UGA","Renewable internal freshwater resources per capita (cubic meters)",912.7283763,5404.806869
"249","Ukraine","UKR","Renewable internal freshwater resources per capita (cubic meters)",1234.802572,NA
"250","Upper middle income","UMC","Renewable internal freshwater resources per capita (cubic meters)",8157.52991,16112.70475
"251","Uruguay","URY","Renewable internal freshwater resources per capita (cubic meters)",26730.13867,35408.65699
"252","United States","USA","Renewable internal freshwater resources per capita (cubic meters)",8622.003207,15106.8415
"253","Uzbekistan","UZB","Renewable internal freshwater resources per capita (cubic meters)",495.8110942,NA
"254","St. Vincent and the Grenadines","VCT","Renewable internal freshwater resources per capita (cubic meters)",907.3586789,1201.359939
"255","Venezuela, RB","VEN","Renewable internal freshwater resources per capita (cubic meters)",27867.09383,92075.97583
"256","British Virgin Islands","VGB","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"257","Virgin Islands (U.S.)","VIR","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"258","Vietnam","VNM","Renewable internal freshwater resources per capita (cubic meters)",3761.749882,10362.87954
"259","Vanuatu","VUT","Renewable internal freshwater resources per capita (cubic meters)",34167.59204,147507.8548
"260","World","WLD","Renewable internal freshwater resources per capita (cubic meters)",5658.060037,13406.7031
"261","Samoa","WSM","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"262","Kosovo","XKX","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"263","Yemen, Rep.","YEM","Renewable internal freshwater resources per capita (cubic meters)",73.68761567,383.6547721
"264","South Africa","ZAF","Renewable internal freshwater resources per capita (cubic meters)",775.1868235,2493.636079
"265","Zambia","ZMB","Renewable internal freshwater resources per capita (cubic meters)",4622.021778,24596.36054
"266","Zimbabwe","ZWE","Renewable internal freshwater resources per capita (cubic meters)",849.1003276,3035.247743
